event_id,state,district,lat,lng,geology,year,label
NAG/KIP/83K13/2016/073,Nagaland,Kiphire,25.755936,94.846033,Ultramafics,2016.0,2
NAG/WOK/83J/4/2016/0042,Nagaland,Wokha,26.208417,94.204389,Shale and siltstone,2016.0,2
NG/TUE/83J15/2017/38,Nagaland,Tuensang,26.305833,94.875833,Shale dominant with sandstone,2017.0,2
NAG/WOK/83J/4/2016/0055,Nagaland,Wokha,26.23675,94.209639,Friablle sandstone,2016.0,2
NAG/WOKH/83J08/2015/0008,Nagaland,Wokha,26.026389,94.331722,Weathered shale,2015.0,2
NG/KOH/83K2/2015/175,Nagaland,Kohima,25.696,94.104,Shale dominated Disangs,2015.0,2
NG/KOH/83K2/2015/140,Nagaland,Kohima,25.645,94.034,Sandstone dominated Barails,2015.0,2
NAG/WOK/83J/4/2016/0088,Nagaland,Wokha,26.055011,94.044322, ,2016.0,2
NG/PER/83G14/2015/6,Nagaland,Peren,25.578,93.805,Sandstone dominated Barails,2015.0,2
NAG/WOK/83J/4/2016/0049,Nagaland,Wokha,26.234722,94.21525,Colluvium,2016.0,2
NAG/ZUN/83J12/2016/0022,Nagaland,Zunheboto,26.110135,94.870921,Sandstone and shale,2016.0,2
NG/KOH/83K2/2015/229,Nagaland,Kohima,25.585,94.137,Shale dominated Disangs,2015.0,2
NG/MON/83N2/2017/60,Nagaland,Mon,26.639472,95.075083,Shale,2017.0,2
NAG/KOH/83K1/2016/082,Nagaland,Kohima,25.850667,94.154667,No exposure,2016.0,2
NG/PHE/83K14/2017/43,Nagaland,Phek,25.623364,94.819272,Volcanics of Ophiolite suites,2017.0,2
NAG/ZUN/83K5/2016/019,Nagaland,Zunheboto,25.854278,94.432472,Sandstone and shale,2016.0,2
NG/KOH/83K2/2015/49,Nagaland,Kohima,25.691,94.121,Variably thin overburden resting over Tertiary sedimentary sequence.,2015.0,2
NG/TUE/83N4/2017/5,Nagaland,Tuensang,26.21475,95.010667,Not exposed,2017.0,2
NG/PHE/83K6/2015/299,Nagaland,Phek,25.566,94.258,Shale dominated Disangs,2015.0,2
NG/KOH/83K2/2015/88,Nagaland,Kohima,25.672,94.101,Tertiary sedimentary sequence (mainly grey splintery shale),2015.0,2
NAG/KOH/83K02/2007/F-1,Nagaland,Kohima,25.63861,94.115, ,2007.0,2
NG/KOH/83K2/2015/205,Nagaland,Kohima,25.571,94.166,Shale dominated Disangs,2015.0,2
NAG/ZUN/83J12/2016/0069,Nagaland,Zunheboto,26.086444,94.564667,Shale,2016.0,2
NG/PHE/83K6/2015/338,Nagaland,Phek,25.681,94.387,Shale dominated Disangs,2015.0,2
NAG/KIP/83K13/2016/056,Nagaland,Kiphire,25.828928,94.898075,Serpentinite,2016.0,2
NG/PHE/83K14/2017/8,Nagaland,Phek,25.588389,94.78825,Mafic/Ultramafic of Ophiolite suites,2017.0,2
NAG/ZUNH/83J08/2015/ 0079,Nagaland,Zunheboto,26.159667,94.4995,Weathered shale,2015.0,2
NG/PHE/83K14/2017/19,Nagaland,Phek,25.561903,94.778178,Volcanics of Ophiolite suites,2017.0,2
NG/KOH/83K2/2015/237,Nagaland,Kohima,25.679,94.07,Shale dominated Disangs,2015.0,2
NG/KOH/83K2/2015/194,Nagaland,Kohima,25.661,94.054,Sandstone dominated Barails,2015.0,2
NL/KOH/83K02/2014/23,Nagaland,Kohima,25.71092,94.09306,Tertiary sedimentary sequence (mainly grey splintery shale),2014.0,2
NG/MON/83N01/2017/14,Nagaland,Mon,26.767972,95.087028, ,2017.0,2
NG/MON/83N01/2017/31,Nagaland,Mon,26.794472,95.072722,Shale,2017.0,2
NG/MON/83N2/2017/3,Nagaland,Mon,26.728556,95.032306,Not exposed,2017.0,2
NAG/WOK/83J/4/2016/0046,Nagaland,Wokha,26.222306,94.214056,Carbonaceous shale with coal seams,2016.0,2
NAG/KOH/83K1/2016/162,Nagaland,Kohima,25.804972,94.241086, ,2016.0,2
NAG/WOKH/83J08/2015/0020,Nagaland,Wokha,26.103667,94.363139,Weathered shale,2015.0,2
NAG/KIP/83K13/2016/058,Nagaland,Kiphire,25.827106,94.907639,Serpentinite,2016.0,2
NG/PHE/83K6/2015/268,Nagaland,Phek,25.549,94.286,Sandstone dominated Barails,2015.0,2
NG/NOK/83N04/2017/45,Nagaland,Noklak,26.112611,95.039028,Shale,2017.0,2
NG/TUE/83N4/2017/1,Nagaland,Tuensang,26.207833,95.001083,Shale,2017.0,2
NAG/TUN/83J16/2016/0047,Nagaland,Tuensang,26.178889,94.638139,Shale,2016.0,2
NG/PHE/83K14/2017/64,Nagaland,Phek,25.660583,94.755389,Volcanics of Ophiolite suites,2017.0,2
NG/MON/83N2/2017/6,Nagaland,Mon,26.724639,95.031528,Not exposed,2017.0,2
NG/PHE/83K14/2017/68,Nagaland,Phek,25.680167,94.837944,Volcanics of Ophiolite suites,2017.0,2
NG/NOK/83N04/2017/53,Nagaland,Noklak,26.041611,95.075806,Ophiolite,2017.0,2
NL/MOK/83J10/2014/05,Nagaland,Mokokchung,26.70069,94.64383,"Ferruginous sandstone (thick bedded, medium to coarse grained) belonging to Tipam Group with clayey regolith soil.",2014.0,2
NAG/WOK/83J/4/2016/0102,Nagaland,Wokha,26.011389,94.022722, ,2016.0,2
NG/PHE/83K2/2015/130,Nagaland,Phek,25.622,94.212,"Varaibly thin, clay-rich overburden resting over highly weathered shales of Disang Group",2015.0,2
NAG/ZUN/83J12/2017/0083,Nagaland,Zunheboto,26.182283,94.586087,Sandstone,2017.0,2
NG/TUE/83J15/2017/6,Nagaland,Tuensang,26.261111,94.809444,Shale,2017.0,2
NG/KOH/83K2/2015/146,Nagaland,Phek,25.684,94.246,Colluvium,2015.0,2
NG/MOK/83J10/2017/3,Nagaland,Mokukchung,26.673278,94.743833,Shale,2017.0,2
NG/TUE/83J15/2017/18,Nagaland,Tuensang,26.300556,94.844722,shale dominant,2017.0,2
NG/MOK/83J10/2017/18,Nagaland,Mokukchung,26.635667,94.703611,Fine grained thinly bedded pink sandstone,2017.0,2
NAG/KOH/83K1/2016/118,Nagaland,Kohima,25.896389,94.203556,No exposure,2016.0,2
NG/PHE/83K14/2017/24,Nagaland,Phek,25.581944,94.858139,Feldspathic Quartzite of Nimi Fm.,2017.0,2
NAG/WOKH/83J08/2015/0014,Nagaland,Wokha,26.065972,94.270389,Weathered shale,2015.0,2
NAG/KIP/83K13/2016/084,Nagaland,Kiphire,25.878183,94.946942,Serpentinite,2016.0,2
NAG/WOK/83J/4/2016/0099,Nagaland,Wokha,26.012889,94.044222,"Sandstone (soft, friable )",2016.0,2
NAG/MOK/83J/7/2016/0011,Nagaland,Mokokchung,26.395389,94.454528,Sandstone and shale,2016.0,2
NG/KOH/83G14/2015/24,Nagaland,Kohima,25.688,93.907,Sandstone and shale,2015.0,2
NG/KOH/83K2/2015/203,Nagaland,Kohima,25.677,94.241,Colluvium,2015.0,2
NG/TUE/83J15/2017/39,Nagaland,Tuensang,26.375278,94.936389,Shale dominant,2017.0,2
NG/KOH/83K2/2015/231,Nagaland,Kohima,25.733,94.022,Compacted debris,2015.0,2
NG/PHE/83K14/2017/73,Nagaland,Phek,25.733444,94.780361,Shale of Disang,2017.0,2
NAG/ZUN/83J12/2016/0001,Nagaland,Zunheboto,26.077167,94.542306,Dominantly weathered Sandstone with Shale bands,2016.0,2
NAG/WOK/83K1/2016/167,Nagaland,Wokha,25.817194,94.280058, ,2016.0,2
NG/PHE/83K6/2015/290,Nagaland,Phek,25.713,94.309,Shale dominated Disangs,2015.0,2
NG/PHE/83K6/2015/335,Nagaland,Phek,25.681,94.285,Shale dominated Disangs,2015.0,2
NG/MON/83N2/2017/70,Nagaland,Mon,26.71125,95.016722,Shale,2017.0,2
NAG/ZUN/83K09/2016/136,Nagaland,Kiphire,25.966742,94.502006,Shale,2016.0,2
NAG/ZUNB/83J12/2016/0010,Nagaland,Zunheboto,26.031742,94.547354,Shale dominent with Silt and sandstone,2016.0,2
NAG/ZUN/83K09/2016/099,Nagaland,Kiphire,25.939139,94.649311,Shale,2016.0,2
NAG/KIP/83K13/2016/030,Nagaland,Kiphire,25.9255,94.760419,Phyllitic shale,2016.0,2
NA/MOK/83J06/2020/26,Nagaland,Mokokchung,26.62,94.5,"Sandstone, shale, siltstone and conglomerate",2020.0,2
NG/MON/83N01/2017/50,Nagaland,Mon,26.834,95.079806,Shale,2017.0,2
NG/MON/83N2/2017/58,Nagaland,Mon,26.582861,95.020306,Not exposed,2017.0,2
NG/PHE/83K6/2015/322,Nagaland,Phek,25.594,94.314,Sandstone dominated Barails,2015.0,2
NG/PHE/83K10/2017/30,Nagaland,Phek,25.692222,94.584722,Shale of Disang,2017.0,2
NG/MOK/83J10/2017/19,Nagaland,Mokukchung,26.719417,94.660667,Shale,2017.0,2
NAG/PHK/83K5/2016/031,Nagaland,Phek,25.788389,94.434111,Sandstone and shale,2016.0,2
NAG/PER/83G11/2017/0135,Nagaland,Peren,25.298167,93.632222, ,2017.0,2
NG/MON/83N01/2017/72,Nagaland,Mon,26.758306,94.955806,Alt. shale and sandstone,2017.0,2
