slope_deg,rainfall_24h_mm,rainfall_72h_mm,soil_moisture,elevation_m,lithology_code,ndvi,landslide_risk_level,event_id,state,district,lat,lng,year,data_source
36.2,110.5,201.5,0.43,168.0,4,0.52,2,MZ/LAW/84B10/2020/4,Mizoram,Lawngtlai,22.61,92.66,2020,GSI_REAL
36.2,110.5,201.5,0.43,559.0,3,0.52,2,MZ/LAW/84B11/2020/3,Mizoram,Lawngtlai,22.43,92.75,2020,GSI_REAL
36.2,110.5,201.5,0.43,1047.0,4,0.52,2,MZ/LAW/84B16/2020/8,Mizoram,Saiha,22.21,92.96,2020,GSI_REAL
36.2,110.5,201.5,0.43,649.0,3,0.52,2,MZ/CHA/84E02/2017/0095,Mizoram,Champhai,23.695088,93.041426,2017,GSI_REAL
36.2,110.5,201.5,0.43,120.0,4,0.52,2,MZ/LUN/84B09/2018/12,Mizoram,Lunglei,22.883036,92.557152,2018,GSI_REAL
36.2,110.5,201.5,0.43,1216.0,4,0.52,2,MZ/CHA/84E07/2017/76,Mizoram,Champhai,23.26125,93.337222,2017,GSI_REAL
36.2,110.5,201.5,0.43,661.0,4,0.52,2,MZ/LUN/84B13/2018/10,Mizoram,Lunglei,22.795282,92.813881,2018,GSI_REAL
36.2,110.5,201.5,0.43,598.0,4,0.52,2,MZ/AIZ/84E01/2017/105,Mizoram,Aizawl,23.805779,93.027115,2017,GSI_REAL
36.2,110.5,201.5,0.43,1198.0,4,0.52,2,MIZO/AIZ/84A10/2007/E-1,Mizoram,Aizawl,23.406389,92.75325,2007,GSI_REAL
36.2,110.5,201.5,0.43,768.0,4,0.52,2,MIZ/AIZ/84A13/2016/16,Mizoram,Aizawl,23.872722,92.874083,2016,GSI_REAL
36.2,110.5,201.5,0.43,621.0,4,0.52,2,MZ/AIZ/84E01/2017/101,Mizoram,Aizawl,23.797361,93.040916,2017,GSI_REAL
36.2,110.5,201.5,0.43,213.0,4,0.52,2,MZ/LUN/84B09/2018/4,Mizoram,Lunglei,22.790684,92.614983,2018,GSI_REAL
36.2,110.5,201.5,0.43,1210.0,4,0.52,2,MZ/CHA/84E06/2017/25,Mizoram,Champhai,23.514479,93.369982,2017,GSI_REAL
36.2,110.5,201.5,0.43,556.0,4,0.52,2,MZ/LUN/84B09/2018/10,Mizoram,Lunglei,22.880117,92.831108,2018,GSI_REAL
36.2,110.5,201.5,0.43,932.0,4,0.52,2,MZ/CHA/84E07/2017/77,Mizoram,Champhai,23.367333,93.380083,2017,GSI_REAL
36.2,110.5,201.5,0.43,1081.0,4,0.52,2,MZ/SER/84A15/2016/129,Mizoram,Serchhip,23.387328,92.933397,2016,GSI_REAL
36.2,110.5,201.5,0.43,602.0,4,0.52,2,MZ/LUN/84B13/2018/90,Mizoram,Lunglei,22.898329,92.893478,2018,GSI_REAL
36.2,110.5,201.5,0.43,462.0,4,0.52,2,MZ/AIZ/83D16/2016/32,Mizoram,Aizawl,24.237872,92.798117,2016,GSI_REAL
36.2,110.5,201.5,0.43,492.0,4,0.52,2,MZ/AIZ/83D16/2016/116,Mizoram,Aizawl,24.182783,92.949911,2016,GSI_REAL
36.2,110.5,201.5,0.43,1344.0,4,0.52,2,MZ/CHA/84E02/2017/0062,Mizoram,Champhai,23.694333,93.183335,2017,GSI_REAL
36.2,110.5,201.5,0.43,1267.0,3,0.52,2,MZ/AIZ/83H04/2017/11,Mizoram,Aizawl,24.047916,93.056946,2017,GSI_REAL
36.2,110.5,201.5,0.43,1270.0,4,0.52,2,MZ/CHA/84E03/2017/71,Mizoram,Champhai,23.384222,93.145528,2017,GSI_REAL
36.2,110.5,201.5,0.43,661.0,4,0.52,2,MZ/LUN/84B13/2018/13,Mizoram,Lunglei,22.80291,92.81369,2018,GSI_REAL
36.2,110.5,201.5,0.43,1491.0,4,0.52,2,MZ/CHA/84E08/2017/8,Mizoram,Champhai,23.21475,93.261139,2017,GSI_REAL
36.2,110.5,201.5,0.43,741.0,4,0.52,2,MZ/LAW/84B14/2018/49,Mizoram,Lawngtlai,22.538,92.857002,2018,GSI_REAL
36.2,110.5,201.5,0.43,782.0,4,0.52,2,MZ/SAI/84B15/2018/61,Mizoram,Saiha,22.455,92.959999,2018,GSI_REAL
36.2,110.5,201.5,0.43,787.0,4,0.52,2,MZ/SER/84A15/2016/62,Mizoram,Serchhip,23.447015,92.866917,2016,GSI_REAL
36.2,110.5,201.5,0.43,844.0,4,0.52,2,MZ/SER/84A15/2016/68,Mizoram,Serchhip,23.447093,92.863082,2016,GSI_REAL
36.2,110.5,201.5,0.43,626.0,4,0.52,2,MZ/AIZ/84A10/2015/199,Mizoram,Aizawl,23.721167,92.675056,2015,GSI_REAL
36.2,110.5,201.5,0.43,1162.0,4,0.52,2,MZ/CHA/84E02/2017/6,Mizoram,Champhai,23.69159,93.190067,2017,GSI_REAL
36.2,110.5,201.5,0.43,1720.0,4,0.52,2,MZ/SER/84F01/2018/13,Mizoram,Champhai,23.182417,93.246498,2018,GSI_REAL
36.2,110.5,201.5,0.43,923.0,4,0.52,2,MZ/CHA/84E08/2017/2,Mizoram,Champhai,23.051673,93.306394,2017,GSI_REAL
36.2,110.5,201.5,0.43,788.0,4,0.52,2,MZ/SER/84A15/2016/37,Mizoram,Serchhip,23.321505,92.854734,2016,GSI_REAL
36.2,110.5,201.5,0.43,340.0,4,0.52,2,MZ/LUN/84B13/2018/93,Mizoram,Lunglei,22.899906,92.868828,2018,GSI_REAL
36.2,110.5,201.5,0.43,598.0,4,0.52,2,MZ/AIZ/83D16/2016/35,Mizoram,Aizawl,24.010279,92.767056,2016,GSI_REAL
36.2,110.5,201.5,0.43,451.0,4,0.52,2,MZ/LAW/84B15/2018/22,Mizoram,Lawngtlai,22.445999,92.874001,2018,GSI_REAL
36.2,110.5,201.5,0.43,1073.0,4,0.52,2,MZ/CHA/84E07/2017/86,Mizoram,Champhai,23.376472,93.384778,2017,GSI_REAL
36.2,110.5,201.5,0.43,830.0,4,0.52,2,"MZ/LAW/84B14/2018/29
",Mizoram,"Lawngtlai
",22.503,92.889,2018,GSI_REAL
24.5,148.8,271.2,0.53,208.0,5,0.7,2,MZ/KLS/83D11/2020/18,Mizoram,Kolasib,24.26,92.67,2020,GSI_REAL
36.2,110.5,201.5,0.43,656.0,4,0.52,2,MZ/LUN/84B13/2018/111,Mizoram,Lunglei,22.940655,92.833038,2018,GSI_REAL
36.2,110.5,201.5,0.43,1662.0,4,0.52,2,MZ/CHA/84E06/2017/24,Mizoram,Champhai,23.654025,93.287022,2017,GSI_REAL
36.2,110.5,201.5,0.43,403.0,4,0.52,2,MZ/LAW/84B11/2020/7,Mizoram,Lawngtlai,22.34,92.75,2020,GSI_REAL
36.2,110.5,201.5,0.43,566.0,4,0.52,2,MZ/SER/84A15/2016/2,Mizoram,Serchhip,23.305259,92.809736,2016,GSI_REAL
36.2,110.5,201.5,0.43,531.0,4,0.52,2,MZ/SER/84A16/2018/39,Mizoram,Serchhip,23.223055,92.931114,2018,GSI_REAL
36.2,110.5,201.5,0.43,161.0,4,0.52,2,MZ/LAW/84B12/2020/26,Mizoram,Lawngtlai,22.16,92.62,2020,GSI_REAL
36.2,110.5,201.5,0.43,920.0,3,0.52,2,MZ/AIZ/84E01/2017/58,Mizoram,Aizawl,23.969223,93.016335,2017,GSI_REAL
36.2,110.5,201.5,0.43,1009.0,4,0.52,2,MZ/SER/84A15/2016/45,Mizoram,Serchhip,23.321765,92.8589,2016,GSI_REAL
36.2,110.5,201.5,0.43,945.0,4,0.52,2,MZ/AIZ/83D16/2016/63,Mizoram,Aizawl,24.070285,92.787738,2016,GSI_REAL
36.2,110.5,201.5,0.43,1312.0,4,0.52,2,MZ/CHA/84E08/2017/28,Mizoram,Champhai,23.141445,93.33848,2017,GSI_REAL
36.2,110.5,201.5,0.43,995.0,4,0.52,2,MZ/AIZ/84A10/2015/206,Mizoram,Aizawl,23.739417,92.699917,2015,GSI_REAL
